uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,ndvi,soil_moisture,prcp_d0,prcp_d1,prcp_d2,prcp_d3,prcp_d4,prcp_d5,prcp_d6,land_cover,land_cover_label,slope,aspect,solar_exposure,wind_exposure,water_retention,tmax_d0,tmin_d0,tmax_d1,tmin_d1,tmax_d2,tmin_d2,tmax_d3,tmin_d3,tmax_d4,tmin_d4,tmax_d5,tmin_d5,tmax_d6,tmin_d6
49e01c85-9ecc-467f-85d3-ced483de7d12,389476353,2026-08-08 12:53:16-06:00,2026-08-08,-104.98081945,38.74030366,3118.0,,16.0,33.3,0.3,5.4,,,Boletus rubriceps,"Teller County, US-CO, US",2,,,,,,,,,,10,Tree cover,,,,,,24.1,11.1,22.7,10.8,23.7,7.9,23.0,7.7,20.3,7.1,24.7,12.7,24.3,9.5
af93eac3-cd74-45d5-b322-acc562f31b01,389664305,2026-08-08 17:17:25-06:00,2026-08-08,-105.6420966667,39.922345,3180.0,,10.0,16.0,1.6,12.1,,1021.0,Boletus rubriceps,"Rollins Pass Rd, Black Hawk, CO, US",2,,,,,,,,,,10,Tree cover,,,,,,23.5,6.0,24.5,7.0,22.3,5.9,21.9,5.6,22.6,5.3,24.2,7.9,24.8,6.0
76654c03-fa38-46e4-bddd-382103eb0aff,390677895,2026-08-08 14:11:24-06:00,2026-08-08,-106.536955,35.82107,2575.0,,16.7,31.2,6.0,7.8,,,Boletus edulis,"Jemez National Recreation Area, Jemez Springs, NM, US",1,,,,,,,,,,10,Tree cover,,,,,,27.9,11.0,28.7,13.6,30.3,13.4,30.0,12.9,30.5,14.5,30.0,12.9,28.4,12.2
a83a92bf-9891-45af-96bc-2014ff7e58d8,390112223,2026-08-08 13:47:00-06:00,2026-08-08,-104.9836961111,38.7383969444,3076.0,,16.0,33.3,0.3,5.4,,,Boletus rubriceps,"Teller County, CO, USA",1,,,,,,,,,,10,Tree cover,,,,,,25.0,12.0,23.5,11.6,24.5,8.7,23.8,8.6,21.1,8.0,25.5,13.5,25.2,10.4
7b667cc6-b60d-4e5b-91c5-e504543603b8,389494303,2026-08-08 11:24:39-06:00,2026-08-08,-106.7139583333,35.9622383333,2656.0,,16.7,31.2,6.0,7.8,,,Boletus rubriceps,"Jemez Springs, NM, US",1,,,,,,,,,,10,Tree cover,,,,,,27.5,10.8,28.6,11.9,29.6,12.8,29.5,12.8,29.7,12.5,30.4,12.2,28.6,9.7
90647579-d19f-4d38-af5d-b7c7ba35110c,390651394,2026-08-08 13:09:42-06:00,2026-08-08,-106.5328883333,35.8155533333,2571.0,,16.7,31.2,6.0,7.8,,,Onnia tomentosa,"Jemez National Recreation Area, Jemez Springs, NM, US",1,,,,,,,,,,10,Tree cover,,,,,,27.9,11.0,28.7,13.6,30.3,13.4,30.0,12.9,30.5,14.5,30.0,12.9,28.4,12.2
491470e8-2897-4ade-84ca-1a009137f4aa,389918803,2026-08-09 15:05:48-06:00,2026-08-09,-110.8000817206,40.7506403044,3005.0,,,,,,,,Boletus edulis,"Utah, US",2,,,,,,,,,,10,Tree cover,,,,,,20.5,11.1,22.4,14.4,23.4,8.7,22.5,10.1,20.8,8.3,20.8,9.6,22.4,11.1
67f228c2-9900-48bd-8453-814c438e41e9,390415538,2026-08-09 13:13:10-06:00,2026-08-09,-107.8807803837,37.8457049994,2906.0,,13.0,27.0,0.0,4.9,,,Boletus rubriceps,"San Miguel County, US-CO, US",1,,,,,,,,,,10,Tree cover,,,,,,24.3,11.5,25.0,8.4,25.8,10.9,24.4,10.6,24.2,10.3,24.7,11.4,24.6,12.5
0b6746bc-23c4-4b54-ac58-55be8cd60f5c,390415658,2026-08-09 14:06:40-06:00,2026-08-09,-107.881005,37.8460783333,2922.0,,13.0,27.0,0.0,4.9,,,Boletus rubriceps,"San Miguel County, US-CO, US",1,,,,,,,,,,10,Tree cover,,,,,,24.4,11.6,25.1,8.5,25.9,11.0,24.5,10.7,24.3,10.4,24.8,11.5,24.7,12.6
06d7eee5-a2ab-4a6e-bbf5-df4bd2fbd4b4,390415691,2026-08-09 14:08:24-06:00,2026-08-09,-107.8810283333,37.8458116667,2906.0,,13.0,27.0,0.0,4.9,,,Boletus rubriceps,"San Miguel County, US-CO, US",1,,,,,,,,,,10,Tree cover,,,,,,24.4,11.6,25.1,8.5,25.9,11.0,24.5,10.7,24.3,10.4,24.8,11.5,24.7,12.6
ec42e9e0-b2bb-4ccc-8e6a-2f4e8f12280c,390415725,2026-08-09 14:10:46-06:00,2026-08-09,-107.8809966667,37.8458116667,2906.0,,13.0,27.0,0.0,4.9,,,Boletus rubriceps,"San Miguel County, US-CO, US",1,,,,,,,,,,10,Tree cover,,,,,,24.4,11.6,25.1,8.5,25.9,11.0,24.5,10.7,24.3,10.4,24.8,11.5,24.7,12.6
